,id_componente,codigo,nome,departamento
22803,57586,ECT2101,PRÉ-CÁLCULO,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22804,57587,ECT2103,CÁLCULO I,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22805,57588,ECT2201,CÁLCULO II,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22806,57589,ECT2202,ÁLGEBRA LINEAR,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22807,57590,ECT2301,CÁLCULO III,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22808,57591,ECT2207,PROBABILIDADE E ESTATÍSTICA,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22809,57592,ECT2204,INTRODUÇÃO À FÍSICA CLÁSSICA I,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22810,57593,ECT2304,INTRODUÇÃO À FÍSICA CLÁSSICA II,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22811,57594,ECT2402,INTRODUÇÃO À FÍSICA CLÁSSICA III,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22812,57595,ECT2307,FÍSICA EXPERIMENTAL I,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22813,57596,ECT2403,FÍSICA EXPERIMENTAL II,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22814,57597,ECT2203,LÓGICA DE PROGRAMAÇÃO,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22815,57598,ECT2303,LINGUAGEM DE PROGRAMAÇÃO,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22816,57599,ECT2401,COMPUTAÇÃO NUMÉRICA,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22817,57600,ECT2104,QUÍMICA GERAL,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22818,57601,ECT2532,PRÁTICAS DE LEITURA E ESCRITA DE GÊNEROS ACADÊMICOS EM INGLÊS,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22819,57602,ECT2105,PRÁTICAS DE LEITURA E ESCRITA I,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22820,57603,ECT2205,PRÁTICAS DE LEITURA E ESCRITA II,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22821,57604,ECT2305,PRÁTICA DE LEITURA EM INGLÊS,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22822,57605,ECT2106,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",ESCOLA DE CIÊNCIAS E TECNOLOGIA
22823,57606,ECT2206,"GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",ESCOLA DE CIÊNCIAS E TECNOLOGIA
22824,57607,ECT2306,MEIO AMBIENTE E DESENVOLVIMENTO URBANO,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22834,57617,ECT2501,COMUNICAÇÃO PÚBLICA DA CIÊNCIA E DA TECNOLOGIA,ESCOLA DE CIÊNCIAS E TECNOLOGIA
22835,57618,ECT2503,POLÍTICA CIENTÍFICA E TECNOLÓGICA,ESCOLA DE CIÊNCIAS E TECNOLOGIA
